CURRENT DATE | CURRENT TIME | SCANNED|CT.Nr   |PartNr      |D-Nr        |QTTY  || SCANNED |C.Name    | Part Nr.     | Cust Nr.    | QTTY | OrderNr
2023-08-25   |14:19:00      |001     |1234567 |D 123 456 4 |1758491     |100   || 001     |ABC DE FG | D 123 456 4  | D 123 456 4 |200   |AB 12321321
2023-08-25   |14:19:00      |001     |1234567 |D 123 456 4 |1758491     |100   || 001     |ABC DE FG | D 123 456 3  | D 123 456 4 |200   |AB 12321321
2023-08-28 | 03:14:23 | 2 | ABC DE FG | D 123 456 4 | 1758491 | 200 || 2 | ABC DE FG | D 123 456 4 | D 123 456 4 | 200 | AB 12321321 

2023-08-30 | 04:50:37 | 2 | ABC DE FG | D 123 456 4 | 1758491 | 200 || 2 | ABC DE FG | D 123 456 4 | D 123 456 4 | 200 | AB 12321321 

2023-09-02 | 04:28:33 | 2 | ABC DE FG | D 123 456 4 | 1758491 | 200 || 2 | ABC DE FG | D 123 456 4 | D 123 456 4 | 200 | AB 12321321 

2023-09-05 | 01:38:35 | 2 | ABC DE FG | D 123 456 4 | 1758491 | 200 || 2 | ABC DE FG | D 123 456 4 | D 123 456 4 | 200 | AB 12321321 

2023-09-05 | 01:44:16 | 2 | ABC DE FG | D 123 456 4 | 1758491 | 200 || 2 | ABC DE FG | D 123 456 4 | D 123 456 4 | 200 | AB 12321321 

2023-09-11 | 01:17:35 | 2 | 1234567 | D 123 456 4 | 1758491 | 200 || 2 | ABC DE FG | D 123 456 4 | D 123 456 4 | 200 | AB 12321321 

2023-09-25 | 06:58:47 | 2 | 123 | 123 | 123 | 123  || 2 | abc | 123 | 123 | 123 | 123 

2023-09-25 | 07:27:49 | 2 | abc | 123 | 123 | 123 || 2 | abcd | 123 | 123 | 123 | 123 

2023-10-03 | 03:55:31 | 2 | ABC | 123 | 123 | 123 || 2 | ABC | 123 | 123 | 123 | 100 

2023-10-03 | 02:47:47 | 2 | ABCD | 1234 | 123 | 100 || 2 | ABCD | 1234 | 444 | 100 | ORDER 

2023-10-05 | 02:16:33 | 2 | A | 12 | 12 | 100 || 2 | A | 12 | 1 | 100 | 20 
